Target,Horizon,Method,expert,pc,diff_pc_minus_expert,pc_wins,Asset
BTC,5,CausalImpact,2163.279522,2150.136119,-13.143403000000035,True,Bitcoin
ETH,5,DML,128.870826,125.674397,-3.196428999999995,True,Ethereum
ETH,21,DML,120.854992,119.856957,-0.9980350000000016,True,Ethereum
Gold,1,DML,48.495234,47.888786,-0.6064480000000003,True,Gold
ETH,1,CausalImpact,114.502891,114.259727,-0.24316400000000726,True,Ethereum
BTC,1,DML,2229.180309,2228.979129,-0.20118000000002212,True,Bitcoin
IndProd,3,VAR+Granger,1.768284,1.579333,-0.18895099999999987,True,IndProd
IndProd,6,DML,3.270646,3.100614,-0.17003199999999996,True,IndProd
CPI,3,VAR+Granger,0.615532,0.465152,-0.15037999999999996,True,CPI
NatGas,21,DML,0.754609,0.638846,-0.11576299999999995,True,Nat.Gas
UMCSENT,6,CausalImpact,4.606417,4.492333,-0.11408400000000007,True,UMCSENT
CPI,1,VAR+Granger,0.621179,0.51627,-0.10490900000000003,True,CPI
CPI,6,DML,0.701127,0.615622,-0.08550499999999994,True,CPI
CPI,6,VAR+Granger,0.534993,0.464263,-0.07073000000000007,True,CPI
IndProd,6,VAR+Granger,1.87246,1.810157,-0.062303,True,IndProd
UMCSENT,3,CausalImpact,4.444686,4.383399,-0.06128700000000009,True,UMCSENT
WTI_oil,21,DML,1.794808,1.7458,-0.04900799999999994,True,WTI Oil
NatGas,5,DML,0.489448,0.455727,-0.033721,True,Nat.Gas
UMCSENT,1,CausalImpact,4.304854,4.271682,-0.033171999999999535,True,UMCSENT
CPI,3,CausalImpact,0.523949,0.492718,-0.03123100000000001,True,CPI
IndProd,3,CausalImpact,0.835172,0.818847,-0.016325000000000034,True,IndProd
WTI_oil,1,DML,1.837397,1.823809,-0.013587999999999933,True,WTI Oil
Gold,21,VAR+Granger,47.252044,47.243856,-0.008187999999996975,True,Gold
NatGas,5,VAR+Granger,0.205301,0.199308,-0.005992999999999998,True,Nat.Gas
NatGas,21,CausalImpact,1.134889,1.129766,-0.005122999999999989,True,Nat.Gas
NatGas,21,VAR+Granger,0.218732,0.214912,-0.003820000000000018,True,Nat.Gas
NatGas,5,CausalImpact,0.777758,0.776449,-0.0013090000000000046,True,Nat.Gas
NatGas,1,VAR+Granger,0.201655,0.200382,-0.0012729999999999964,True,Nat.Gas
WTI_oil,21,VAR+Granger,1.715463,1.71424,-0.001222999999999974,True,WTI Oil
USDJPY,21,DML,0.930839,0.929647,-0.0011919999999999709,True,USD/JPY
WTI_oil,21,IV-2SLS,1.721544,1.720897,-0.0006470000000000642,True,WTI Oil
NatGas,1,DML,0.266429,0.265791,-0.0006380000000000274,True,Nat.Gas
GBPUSD,1,CausalImpact,0.007597,0.007168,-0.0004289999999999997,True,GBP/USD
GBPUSD,5,DML,0.006365,0.006039,-0.0003259999999999999,True,GBP/USD
GBPUSD,1,VAR+Granger,0.006784,0.006537,-0.0002469999999999998,True,GBP/USD
EURUSD,1,VAR+Granger,0.006109,0.005902,-0.00020699999999999972,True,EUR/USD
EURUSD,1,CausalImpact,0.006499,0.006335,-0.00016399999999999922,True,EUR/USD
IndProd,6,CausalImpact,0.67287,0.672717,-0.00015299999999995872,True,IndProd
GBPUSD,1,DML,0.006092,0.005975,-0.00011699999999999992,True,GBP/USD
EURUSD,5,VAR+Granger,0.005006,0.004938,-6.800000000000035e-05,True,EUR/USD
EURUSD,5,DML,0.005433,0.005377,-5.6000000000000494e-05,True,EUR/USD
GBPUSD,21,DML,0.006345,0.0063,-4.49999999999999e-05,True,GBP/USD
EURUSD,21,DML,0.005292,0.005278,-1.4000000000000123e-05,True,EUR/USD
WTI_oil,1,IV-2SLS,1.712673,1.71266,-1.2999999999818712e-05,True,WTI Oil
GBPUSD,5,VAR+Granger,0.005858,0.005853,-5.000000000000664e-06,True,GBP/USD
GBPUSD,21,CausalImpact,0.005803,0.005798,-4.999999999999796e-06,True,GBP/USD
EURUSD,5,CausalImpact,0.004959,0.004955,-3.9999999999996635e-06,True,EUR/USD
GBPUSD,5,CausalImpact,0.005835,0.005831,-3.9999999999996635e-06,True,GBP/USD
EURUSD,21,VAR+Granger,0.004933,0.004931,-2.0000000000002655e-06,True,EUR/USD
GBPUSD,21,VAR+Granger,0.005854,0.005852,-1.999999999999398e-06,True,GBP/USD
NatGas,1,IV-2SLS,0.269006,0.269006,0.0,False,Nat.Gas
GBPUSD,1,IV-2SLS,0.005543,0.005543,0.0,False,GBP/USD
EURUSD,1,IV-2SLS,0.004692,0.004692,0.0,False,EUR/USD
EURUSD,21,IV-2SLS,0.004957,0.004957,0.0,False,EUR/USD
GBPUSD,5,IV-2SLS,0.00613,0.00613,0.0,False,GBP/USD
GBPUSD,21,IV-2SLS,0.005966,0.005966,0.0,False,GBP/USD
USDJPY,1,IV-2SLS,0.777073,0.777073,0.0,False,USD/JPY
USDJPY,1,VAR+Granger,0.840031,0.840031,0.0,False,USD/JPY
Gold,1,IV-2SLS,47.210834,47.210834,0.0,False,Gold
NatGas,21,IV-2SLS,0.628981,0.628981,0.0,False,Nat.Gas
Gold,5,IV-2SLS,47.213182,47.213182,0.0,False,Gold
IndProd,1,IV-2SLS,0.913322,0.913322,0.0,False,IndProd
EURUSD,5,IV-2SLS,0.004972,0.004972,0.0,False,EUR/USD
Gold,21,IV-2SLS,47.37839,47.37839,0.0,False,Gold
ETH,5,IV-2SLS,115.083119,115.083119,0.0,False,Ethereum
ETH,5,VAR+Granger,115.008719,115.008719,0.0,False,Ethereum
ETH,1,VAR+Granger,115.366974,115.366974,0.0,False,Ethereum
BTC,21,IV-2SLS,2129.803601,2129.803601,0.0,False,Bitcoin
BTC,21,VAR+Granger,2136.8588,2136.8588,0.0,False,Bitcoin
ETH,1,IV-2SLS,114.840417,114.840417,0.0,False,Ethereum
BTC,5,IV-2SLS,2153.942959,2153.942959,0.0,False,Bitcoin
UMCSENT,1,VAR+Granger,4.132788,4.132788,0.0,False,UMCSENT
BTC,5,VAR+Granger,2159.873374,2159.873374,0.0,False,Bitcoin
UMCSENT,3,VAR+Granger,4.270402,4.270402,0.0,False,UMCSENT
UMCSENT,1,IV-2SLS,4.237295,4.237295,0.0,False,UMCSENT
UMCSENT,6,VAR+Granger,4.198725,4.198725,0.0,False,UMCSENT
USDJPY,21,IV-2SLS,0.909221,0.909221,0.0,False,USD/JPY
USDJPY,5,IV-2SLS,0.907023,0.907023,0.0,False,USD/JPY
USDJPY,21,VAR+Granger,0.90427,0.90427,0.0,False,USD/JPY
USDJPY,5,VAR+Granger,0.889777,0.889777,0.0,False,USD/JPY
UMCSENT,3,IV-2SLS,4.252018,4.252018,0.0,False,UMCSENT
IndProd,3,IV-2SLS,1.104412,1.104412,0.0,False,IndProd
IndProd,6,IV-2SLS,1.352652,1.352652,0.0,False,IndProd
CPI,6,IV-2SLS,0.590911,0.590911,0.0,False,CPI
CPI,1,IV-2SLS,0.587006,0.587006,0.0,False,CPI
UMCSENT,6,IV-2SLS,4.111472,4.111472,0.0,False,UMCSENT
BTC,1,VAR+Granger,2151.026701,2151.026701,0.0,False,Bitcoin
BTC,1,IV-2SLS,2148.539479,2148.539479,0.0,False,Bitcoin
CPI,3,IV-2SLS,0.575474,0.575474,0.0,False,CPI
ETH,21,IV-2SLS,114.403664,114.403664,0.0,False,Ethereum
ETH,21,VAR+Granger,114.406478,114.406478,0.0,False,Ethereum
NatGas,5,IV-2SLS,0.455879,0.455879,0.0,False,Nat.Gas
EURUSD,21,CausalImpact,0.004881,0.004887,5.999999999999929e-06,False,EUR/USD
WTI_oil,5,IV-2SLS,1.720477,1.720637,0.00015999999999993797,False,WTI Oil
EURUSD,1,DML,0.004919,0.005155,0.0002360000000000001,False,EUR/USD
USDJPY,21,CausalImpact,0.906575,0.90691,0.0003349999999999742,False,USD/JPY
USDJPY,5,CausalImpact,0.904542,0.905974,0.0014319999999999888,False,USD/JPY
NatGas,1,CausalImpact,0.8999,0.901333,0.0014330000000000176,False,Nat.Gas
WTI_oil,5,VAR+Granger,1.70491,1.707581,0.00267100000000009,False,WTI Oil
USDJPY,5,DML,0.922728,0.927268,0.0045399999999999885,False,USD/JPY
WTI_oil,1,VAR+Granger,1.768648,1.7781,0.009452000000000016,False,WTI Oil
CPI,1,DML,0.619408,0.629042,0.009634000000000031,False,CPI
WTI_oil,5,DML,1.826702,1.841297,0.014594999999999914,False,WTI Oil
IndProd,1,VAR+Granger,1.050642,1.067122,0.016479999999999828,False,IndProd
IndProd,1,DML,0.878868,0.899247,0.020379000000000036,False,IndProd
Gold,21,DML,47.286859,47.308336,0.021476999999997304,False,Gold
WTI_oil,21,CausalImpact,1.443675,1.467699,0.024024000000000045,False,WTI Oil
USDJPY,1,CausalImpact,0.980068,1.016461,0.03639300000000001,False,USD/JPY
CPI,6,CausalImpact,0.446614,0.484223,0.037609000000000004,False,CPI
CPI,3,DML,0.561749,0.600248,0.03849899999999995,False,CPI
WTI_oil,5,CausalImpact,1.672266,1.71445,0.042184,False,WTI Oil
WTI_oil,1,CausalImpact,1.684732,1.727458,0.04272600000000004,False,WTI Oil
Gold,1,VAR+Granger,47.162646,47.22022,0.05757399999999535,False,Gold
Gold,21,CausalImpact,44.077595,44.159187,0.08159200000000055,False,Gold
IndProd,1,CausalImpact,2.65797,2.753719,0.09574899999999964,False,IndProd
USDJPY,1,DML,0.728588,0.825047,0.09645899999999996,False,USD/JPY
CPI,1,CausalImpact,0.416172,0.520606,0.10443400000000003,False,CPI
Gold,5,CausalImpact,46.665972,46.779779,0.11380700000000132,False,Gold
Gold,5,VAR+Granger,47.072956,47.23152,0.15856400000000548,False,Gold
UMCSENT,3,DML,4.557505,4.794178,0.2366729999999997,False,UMCSENT
UMCSENT,6,DML,4.93554,5.201488,0.26594800000000074,False,UMCSENT
IndProd,3,DML,2.875353,3.212124,0.33677100000000015,False,IndProd
Gold,5,DML,48.04021,48.381741,0.34153099999999625,False,Gold
ETH,5,CausalImpact,115.029146,115.441447,0.41230099999999936,False,Ethereum
UMCSENT,1,DML,3.905971,4.369584,0.4636129999999996,False,UMCSENT
Gold,1,CausalImpact,47.162574,48.066848,0.9042740000000009,False,Gold
ETH,21,CausalImpact,116.394044,117.730791,1.3367470000000026,False,Ethereum
ETH,1,DML,121.074947,123.058101,1.983153999999999,False,Ethereum
BTC,5,DML,2204.202048,2215.423353,11.22130500000003,False,Bitcoin
BTC,1,CausalImpact,2153.309354,2169.051863,15.742509000000155,False,Bitcoin
BTC,21,DML,2176.33677,2203.783925,27.447155000000294,False,Bitcoin
BTC,21,CausalImpact,2167.375929,2198.473213,31.0972840000004,False,Bitcoin
