Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,CausalImpact,Causal,1.731671,1.246868,52462173.7845,-0.0847
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,DML,Causal,2.081238,1.337615,170841839.7959,-0.473
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,VAR+Granger,Causal,1.791604,1.256375,189953021.6971,-0.0929
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,IV-2SLS,Causal,1.710994,1.211779,46452704.1366,0.0045
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,CausalImpact,Causal,1.714867,1.24225,58544443.0614,-0.0782
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,DML,Causal,1.902086,1.302549,170226387.1963,-0.23
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,VAR+Granger,Causal,1.712079,1.217336,78009014.6491,0.002
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,IV-2SLS,Causal,1.722135,1.216611,112751662.3819,-0.0085
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,CausalImpact,Causal,1.473965,1.14119,57375033.4237,-0.0488
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,DML,Causal,1.787633,1.250482,110266084.4694,-0.0836
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,VAR+Granger,Causal,1.71424,1.211556,656176.3174,-0.0005
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,IV-2SLS,Causal,1.720819,1.215758,50751528.8864,-0.0041
WTI Oil,WTI_oil,A,D,1,Expert-DAG,CausalImpact,Causal,1.684732,1.217044,67819216.8759,-0.0267
WTI Oil,WTI_oil,A,D,1,Expert-DAG,DML,Causal,1.837397,1.275636,112917212.6632,-0.1481
WTI Oil,WTI_oil,A,D,1,Expert-DAG,VAR+Granger,Causal,1.768648,1.226575,141074943.0225,-0.065
WTI Oil,WTI_oil,A,D,1,Expert-DAG,IV-2SLS,Causal,1.712673,1.212434,45895921.471,0.0025
WTI Oil,WTI_oil,A,D,5,Expert-DAG,CausalImpact,Causal,1.672266,1.207706,72120107.1011,-0.0253
WTI Oil,WTI_oil,A,D,5,Expert-DAG,DML,Causal,1.826702,1.249308,64197268.5717,-0.1344
WTI Oil,WTI_oil,A,D,5,Expert-DAG,VAR+Granger,Causal,1.70491,1.215061,54621953.867,0.0103
WTI Oil,WTI_oil,A,D,5,Expert-DAG,IV-2SLS,Causal,1.720477,1.213174,119038357.9434,-0.0066
