Asset,Expert-DAG | CausalImpact,Expert-DAG | DML,Expert-DAG | IV-2SLS,Expert-DAG | VAR+Granger,Heuristic-Z | CausalImpact,Heuristic-Z | DML,Heuristic-Z | IV-2SLS,Heuristic-Z | VAR+Granger,PC-DAG | CausalImpact,PC-DAG | DML,PC-DAG | IV-2SLS,PC-DAG | VAR+Granger,ARIMA,LSTM,Prophet,RandomForest
Bitcoin,2153.309354,2229.180309,2148.539479,2151.026701,2294.844264,2240.455181,2148.539479,2168.36997,2169.051863,2228.979129,2148.539479,2151.026701,2135.585438,10963.610482,,2152.670873
CPI,0.416172,0.619408,0.587006,0.621179,0.416626,0.575907,0.587006,0.530608,0.520606,0.629042,0.587006,0.51627,0.404415,8.668067,,0.482944
EUR/USD,0.006499,0.004919,0.004692,0.006109,0.00512,0.005004,0.004692,0.004977,0.006335,0.005155,0.004692,0.005902,0.004929,0.015104,1.418227,0.003393
Ethereum,114.502891,121.074947,114.840417,115.366974,127.663246,121.497983,114.840417,116.777085,114.259727,123.058101,114.840417,115.366974,114.605548,510.449957,,115.926074
GBP/USD,0.007597,0.006092,0.005543,0.006784,0.005897,0.005974,0.005543,0.005862,0.007168,0.005975,0.005543,0.006537,0.005851,0.045792,1.846081,0.004471
Gold,47.162574,48.495234,47.210834,47.162646,48.447214,48.36991,47.210834,47.22022,48.066848,47.888786,47.210834,47.22022,68.130583,857.699997,3200.383116,47.792074
IndProd,2.65797,0.878868,0.913322,1.050642,2.156175,0.864615,0.913322,1.090015,2.753719,0.899247,0.913322,1.067122,0.627251,0.897755,,0.763764
Nat.Gas,0.8999,0.266429,0.269006,0.201655,0.896593,0.272028,0.269152,0.199389,0.901333,0.265791,0.269006,0.200382,0.20115,0.337587,14.962384,0.277165
UMCSENT,4.304854,3.905971,4.237295,4.132788,4.042415,4.26093,4.237295,4.25472,4.271682,4.369584,4.237295,4.132788,4.182202,6.856673,,4.112621
USD/JPY,0.980068,0.728588,0.777073,0.840031,0.887002,0.868747,0.777073,0.844391,1.016461,0.825047,0.777073,0.840031,0.904634,30.21192,,0.830464
WTI Oil,1.684732,1.837397,1.712673,1.768648,1.731671,2.081238,1.710994,1.791604,1.727458,1.823809,1.71266,1.7781,2.369682,19.590041,1.653202,1.768112
